Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,David Johnson,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,5,3,20,1,,328,407.8,416.8,367.8,191,1,1,JohnDa08
2,Ezekiel Elliott,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,5,1,16,,,293,325.4,332.4,309.4,156,2,2,ElliEz00
3,Aaron Rodgers,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,,0,8,4,4,1,1,380,380,397,387,119,1,3,RodgAa00
4,LeSean McCoy,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,3,0,14,1,,248,298.3,304.3,273.3,111,3,4,McCoLe01
5,Le'Veon Bell,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,4,1,9,1,,242,317.4,324.4,279.9,105,4,5,BellLe00
6,DeMarco Murray,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,3,1,12,,,241,293.8,300.8,267.3,104,5,6,MurrDe00
7,Devonta Freeman,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,1,1,13,,,230,284.1,291.1,257.1,93,6,7,FreeDe00
8,LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,2,1,18,,,226,232.9,236.9,229.4,89,7,8,BlouLe00
9,Matt Ryan,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,,0,4,2,0,1,1,347,347.5,362.5,354.5,87,2,9,RyanMa00
10,Mike Evans,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,0,0,12,2,,208,304.1,307.1,256.1,82,1,10,EvanMi00
11,Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,1,1,14,,,208,304.7,308.7,256.2,82,2,11,NelsJo00
12,Antonio Brown,PIT,WR,28,15,15,0,0,0,0,0,3,9,3,0,154,106,1284,12.11,12,0,0,12,,,201,307.3,310.3,254.3,75,3,12,BrowAn04
13,Melvin Gordon,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,2,2,12,,,210,250.6,258.6,230.1,73,8,13,GordMe00
14,Drew Brees,NOR,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,,0,5,4,2,,,332,332.3,354.3,347.3,72,3,14,BreeDr00
15,Odell Beckham Jr.,NYG,WR,24,16,16,0,0,0,0,0,1,9,9,0,169,101,1367,13.53,10,3,1,10,,,196,296.6,300.6,246.1,69,4,15,BeckOd00
16,Jordan Howard,CHI,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,2,1,7,,,201,230.1,237.1,215.6,64,9,16,HowaJo00
17,Mark Ingram,NOR,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,2,2,10,2,,196,242.2,250.2,219.2,59,10,17,IngrMa01
18,T.Y. Hilton,IND,WR,27,16,16,0,0,0,0,0,0,0,,0,155,91,1448,15.91,6,0,0,6,1,,183,273.8,276.8,228.3,57,5,18,HiltT.00
19,Jay Ajayi,MIA,RB,23,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,4,1,8,,,188,215.3,222.3,201.8,51,11,19,AjayJa00
20,Travis Kelce,KAN,TE,27,16,15,0,0,0,0,0,1,-5,-5,0,117,85,1125,13.24,4,0,0,4,1,,138,223,226,180.5,51,1,20,KelcTr00
21,Julio Jones,ATL,WR,27,14,14,0,0,0,0,0,0,0,,0,129,83,1409,16.98,6,0,0,6,,,177,259.9,262.9,218.4,51,6,21,JoneJu02
22,Andrew Luck,IND,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,,0,6,5,2,,2,308,307.7,331.7,320.7,47,4,22,LuckAn00
23,Davante Adams,GNB,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,2,1,12,1,,172,246.7,250.7,209.2,46,7,23,AdamDa01
24,Brandin Cooks,NOR,WR,23,16,12,0,0,0,0,0,6,30,5,0,117,78,1173,15.04,8,1,0,8,,,168,246.3,249.3,207.3,42,8,24,CookBr00
25,Greg Olsen,CAR,TE,31,16,16,0,0,0,0,0,0,0,,0,129,80,1073,13.41,3,0,0,3,1,,127,207.3,210.3,167.3,40,2,25,OlseGr00
26,Kirk Cousins,WAS,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,,0,9,3,4,,,300,300.3,318.3,312.3,40,5,26,CousKi00
27,Frank Gore,IND,RB,33,16,16,0,0,0,0,0,263,1025,3.9,4,47,38,277,7.29,4,2,1,8,,,176,214.2,221.2,195.2,39,12,27,GoreFr00
28,Kyle Rudolph,MIN,TE,27,16,16,0,0,0,0,0,0,0,,0,132,83,840,10.12,7,0,0,7,,,126,209,212,167.5,39,3,28,RudoKy00
29,Latavius Murray,OAK,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8,0,2,1,12,,,175,208.2,215.2,191.7,38,13,29,MurrLa00
30,Michael Thomas,NOR,WR,23,15,12,0,0,0,0,0,0,0,,0,121,92,1137,12.36,9,2,2,9,,,164,255.7,260.7,209.7,38,9,30,ThomMi05
31,Jimmy Graham,SEA,TE,30,16,15,0,0,0,0,0,1,0,0,0,95,65,923,14.2,6,2,2,6,,,124,189.3,194.3,156.8,37,4,31,GrahJi00
32,Delanie Walker,TEN,TE,32,15,9,0,0,0,0,0,2,11,5.5,0,102,65,800,12.31,7,1,0,7,,,123,188.1,191.1,155.6,36,5,32,WalkHu00
33,Doug Baldwin,SEA,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12,7,1,0,7,,,160,253.6,256.6,206.6,33,10,33,BaldDo00
34,Tyreek Hill,KAN,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,4,1,12,,,156,217,224,186.5,30,11,34,HillTy00
35,Isaiah Crowell,CLE,RB,23,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,2,2,7,,,165,205.1,213.1,185.1,28,14,35,CrowIs00
36,Carlos Hyde,SFO,RB,26,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,5,3,9,1,,165,192.1,201.1,178.6,28,15,36,HydeCa00
37,Cameron Brate,TAM,TE,25,15,10,0,0,0,0,0,0,0,,0,81,57,660,11.58,8,1,0,8,,,114,171,174,142.5,27,6,37,BratCa00
38,Dak Prescott,DAL,QB,23,16,16,311,459,3667,23,4,57,282,4.95,6,0,0,0,,0,9,4,6,,,287,286.9,300.9,290.9,26,6,38,PresDa01
39,Martellus Bennett,NWE,TE,29,16,12,0,0,0,0,0,2,10,5,0,73,55,701,12.75,7,0,0,7,,,113,168.1,171.1,140.6,26,7,39,BennMa00
40,Michael Crabtree,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,145,89,1003,11.27,8,2,0,8,1,,150,239.3,242.3,194.8,24,12,40,CrabMi00
41,Spencer Ware,KAN,RB,25,14,14,0,0,0,0,0,214,921,4.3,3,42,33,447,13.55,2,4,3,5,,,161,193.8,202.8,177.3,24,16,41,WareSp00
42,Amari Cooper,OAK,WR,22,16,14,0,0,0,0,0,1,0,0,0,132,83,1153,13.89,5,2,0,5,2,,149,232.3,235.3,190.8,23,13,42,CoopAm00
43,Lamar Miller,HOU,RB,25,14,14,0,0,0,0,0,268,1073,4,5,39,31,188,6.06,1,2,1,6,,,160,191.1,198.1,175.6,23,18,43,MillLa01
44,Tevin Coleman,ATL,RB,23,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,1,0,11,,,160,191.1,197.1,175.6,23,17,44,ColeTe01
45,Tyrell Williams,SDG,WR,24,16,12,0,0,0,0,0,0,0,,0,119,69,1059,15.35,7,0,0,7,,,148,216.9,219.9,182.4,22,14,45,WillTy00
46,Rishard Matthews,TEN,WR,27,16,9,0,0,0,0,0,0,0,,0,108,65,945,14.54,9,1,1,9,,,147,211.5,215.5,179,20,15,46,MattRi00
47,Matthew Stafford,DET,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,,0,3,2,2,,1,280,279.8,297.8,289.8,19,7,47,StafMa00
48,Jeremy Hill,CIN,RB,24,15,13,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,0,0,9,,,155,176.3,182.3,165.8,18,19,48,HillJe01
49,Zach Ertz,PHI,TE,26,14,12,0,0,0,0,0,0,0,,0,106,78,816,10.46,4,0,0,4,,,106,183.6,186.6,144.6,18,8,49,ErtzZa00
50,Todd Gurley,LAR,RB,22,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.6,0,2,1,6,,,155,198.2,205.2,176.7,18,20,50,GurlTo01
51,Matt Forte,NYJ,RB,31,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,1,1,8,,,154,183.6,190.6,168.6,17,21,51,FortMa00
52,Jordan Reed,WAS,TE,26,12,8,0,0,0,0,0,0,0,,0,89,66,686,10.39,6,1,1,6,,,103,168.6,172.6,135.6,15,9,52,ReedJo02
53,Jarvis Landry,MIA,WR,24,16,16,0,1,0,0,0,5,17,3.4,0,131,94,1136,12.09,4,2,2,4,1,,137,231.3,236.3,184.3,11,16,53,LandJa00
54,Larry Fitzgerald,ARI,WR,33,16,16,0,1,0,0,0,2,5,2.5,0,150,107,1023,9.56,6,2,1,6,,,137,243.8,247.8,190.3,11,17,54,FitzLa00
55,Tyrod Taylor,BUF,QB,27,15,15,269,436,3023,17,6,95,580,6.11,6,0,0,0,,0,4,2,6,1,1,271,270.9,284.9,276.9,10,8,55,TaylTy00
56,Terrelle Pryor,CLE,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,1,0,5,1,,136,213.4,216.4,174.9,10,18,56,PryoTe00
57,Demaryius Thomas,DEN,WR,29,16,16,0,0,0,0,0,0,0,,0,144,90,1083,12.03,5,2,2,5,,1,136,226.3,231.3,181.3,10,19,57,ThomDe03
58,Blake Bortles,JAX,QB,24,16,16,368,625,3905,23,16,58,359,6.19,3,1,1,20,20,1,8,6,4,1,1,270,271.1,299.1,286.6,9,9,58,BortBl00
59,Kelvin Benjamin,CAR,WR,25,16,13,0,0,0,0,0,0,0,,0,118,63,941,14.94,7,1,1,7,,,134,197.1,201.1,165.6,8,20,59,BenjKe00
60,Derek Carr,OAK,QB,25,15,15,357,560,3937,28,6,39,70,1.79,0,0,0,0,,0,5,3,0,,5,268,268.5,280.5,274.5,8,10,60,CarrDe02
61,Antonio Gates,SDG,TE,36,14,9,0,0,0,0,0,0,0,,0,93,53,548,10.34,7,1,1,7,,,95,147.8,151.8,121.3,8,10,61,GateAn00
62,Russell Wilson,SEA,QB,28,16,16,353,546,4219,21,11,72,259,3.6,1,2,2,14,7,1,8,2,2,,1,268,270.1,289.1,280.1,7,11,62,WilsRu00
63,Emmanuel Sanders,DEN,WR,29,16,16,0,0,0,0,0,1,4,4,0,137,79,1032,13.06,5,1,0,5,,,134,212.6,215.6,173.1,7,21,63,SandEm00
64,Hunter Henry,SDG,TE,22,15,10,0,0,0,0,0,0,0,,0,53,36,478,13.28,8,1,1,8,,,94,129.8,133.8,111.8,7,11,64,HenrHu00
65,Julian Edelman,NWE,WR,30,16,13,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,3,2,3,1,,132,230.3,235.3,181.3,6,22,65,EdelJu00
66,Golden Tate,DET,WR,28,16,16,0,0,0,0,0,10,4,0.4,0,135,91,1077,11.84,4,2,1,4,1,,132,223.1,227.1,177.6,6,23,66,TateGo00
67,Mike Wallace,BAL,WR,30,16,16,0,0,0,0,0,5,31,6.2,0,116,72,1017,14.13,4,1,0,4,1,,131,202.8,205.8,166.8,5,24,67,WallMi00
68,Jamison Crowder,WAS,WR,23,16,9,0,0,0,0,0,2,-2,-1,0,99,67,847,12.64,7,2,1,8,,,131,197.5,201.5,164,4,25,68,CrowJa00
69,Dez Bryant,DAL,WR,28,13,13,1,1,10,1,0,0,0,,0,96,50,796,15.92,8,1,1,8,,,130,180,184,155,4,26,69,BryaDe01
70,Bilal Powell,NYJ,RB,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,1,1,5,,,139,197,204,168,2,22,70,PoweBi00
71,Kenny Britt,LAR,WR,28,15,15,0,0,0,0,0,0,0,,0,111,68,1002,14.74,5,2,1,5,,,128,196.2,200.2,162.2,2,27,71,BritKe00
72,Jonathan Stewart,CAR,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.5,0,3,2,9,,,138,146.4,151.4,142.4,1,23,72,StewJo00
73,Kenny Stills,MIA,WR,24,16,16,0,0,0,0,0,0,0,,0,81,42,726,17.29,9,0,0,9,,,127,168.6,171.6,147.6,,28,73,StilKe00
74,Allen Robinson,JAX,WR,23,16,16,0,0,0,0,0,0,0,,0,151,73,883,12.1,6,1,0,6,1,,126,199.3,202.3,162.8,,29,74,RobiAl02
75,Andy Dalton,CIN,QB,29,16,16,364,563,4206,18,8,46,184,4,4,0,0,0,,0,9,3,4,,,261,260.6,277.6,268.6,,12,75,DaltAn00
76,Coby Fleener,NOR,TE,28,16,8,0,0,0,0,0,1,2,2,1,81,50,631,12.62,3,2,0,4,,,87,137.3,140.3,112.3,,12,76,FleeCo00
77,Adam Thielen,MIN,WR,26,16,10,0,0,0,0,0,2,15,7.5,0,92,69,967,14.01,5,2,1,5,,,126,195.2,199.2,160.7,,30,77,ThieAd00
78,Terrance West,BAL,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,2,0,6,,,137,171,177,154,,24,78,WestTe00
79,Marcus Mariota,TEN,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,,0,10,5,2,,,260,259.9,279.9,268.9,,13,,MariMa01
80,Tom Brady,NWE,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,,0,5,0,0,,1,259,258.6,263.6,260.6,,15,,BradTo00
81,Philip Rivers,SDG,QB,35,16,16,349,578,4386,33,21,14,35,2.5,0,0,0,0,,0,9,5,0,,,259,258.9,287.9,279.9,,14,,RivePh00
82,Jameis Winston,TAM,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,,0,10,6,1,,3,256,256.1,286.1,274.1,,16,,WinsJa00
83,Cam Newton,CAR,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,,0,3,2,5,1,1,254,254.3,276.3,268.3,,17,,NewtCa00
84,Ben Roethlisberger,PIT,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,,0,8,2,1,,3,252,252.2,270.2,265.2,,18,,RoetBe00
85,Carson Palmer,ARI,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,,0,14,4,0,,1,243,243.1,264.1,257.1,,19,,PalmCa00
86,Joe Flacco,BAL,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,,0,5,3,2,,4,242,242.5,263.5,257.5,,20,,FlacJo00
87,Eli Manning,NYG,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,,0,7,4,0,,,224,224.2,247.2,240.2,,21,,MannEl00
88,Alex Smith,KAN,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3,0,7,4,5,,2,224,224.8,242.8,232.3,,22,,SmitAl03
89,Sam Bradford,MIN,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5,0,10,5,0,,,221,221.9,234.9,226.4,,23,,BradSa00
90,Carson Wentz,PHI,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7,0,14,3,2,1,1,213,214,237,227.5,,24,,WentCa00
91,Colin Kaepernick,SFO,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,,0,9,3,2,1,,200,200.4,213.4,204.4,,25,,KaepCo00
92,Trevor Siemian,DEN,QB,25,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,,0,4,2,0,1,,192,191.7,206.7,201.7,,26,,SiemTr00
93,Ryan Tannehill,MIA,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,,0,9,3,1,,1,190,190.2,211.2,202.2,,27,,TannRy00
94,Brock Osweiler,HOU,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14,0,5,1,2,,,168,169,192,184.5,,28,,OsweBr00
95,Ryan Fitzpatrick,NYJ,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,,0,9,1,0,,,133,133.4,157.4,150.4,,29,,FitzRy00
96,Ryan Mathews,PHI,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,3,2,9,2,,132,144.6,152.6,138.1,,25,,MathRy00
97,DeSean Jackson,WAS,WR,30,15,15,0,0,0,0,0,0,0,,0,100,56,1005,17.95,4,0,0,4,,,125,180.5,183.5,152.5,,31,,JackDe00
98,Pierre Garcon,WAS,WR,30,16,16,0,0,0,0,0,0,0,,0,114,79,1041,13.18,3,0,0,3,,,122,201.1,204.1,161.6,,32,,GarcPi00
99,Brandon LaFell,CIN,WR,30,16,14,0,0,0,0,0,1,-2,-2,0,107,64,862,13.47,6,0,0,6,,,122,186,189,154,,33,,LaFeBr00
100,Robert Kelley,WAS,RB,24,15,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,0,0,7,,,121,132.6,135.6,126.6,,26,,KellRo00
101,A.J. Green,CIN,WR,28,10,10,0,0,0,0,0,0,0,,0,100,66,964,14.61,4,0,0,4,,,120,186.4,189.4,153.4,,34,,GreeA.00
102,Willie Snead,NOR,WR,24,15,4,1,1,50,1,0,0,0,,0,104,72,895,12.43,4,2,0,4,,,120,191.5,194.5,155.5,,35,,SneaWi00
103,DeAndre Hopkins,HOU,WR,24,16,16,0,0,0,0,0,0,0,,0,151,78,954,12.23,4,0,0,4,,,119,197.4,200.4,158.4,,36,,HopkDe00
104,Sterling Shepard,NYG,WR,23,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,0,0,8,,,119,184.4,187.4,151.9,,37,,ShepSt00
105,Mike Gillislee,BUF,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,1,0,9,,,117,125.7,128.7,121.2,,27,,GillMi00
106,Marvin Jones,DET,WR,26,15,15,0,0,0,0,0,1,3,3,0,103,55,930,16.91,4,0,0,4,,,117,172.3,175.3,144.8,,38,,JoneMa02
107,Marqise Lee,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,1,1,4,,,115,178.4,182.4,146.9,,39,,LeexMa00
108,Christine Michael,2TM,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,2,1,8,,,115,137,144,126,,28,,MichCh00
109,Cole Beasley,DAL,WR,27,16,6,0,1,0,0,0,1,7,7,0,98,75,833,11.11,5,0,0,5,,,114,189,192,151.5,,40,,BeasCo00
110,Steve Smith Sr.,BAL,WR,37,14,14,0,0,0,0,0,0,0,,0,101,70,799,11.41,5,0,0,5,2,,114,183.9,186.9,148.9,,41,,SmitSt01
111,Cameron Meredith,CHI,WR,24,14,10,1,1,2,1,0,1,6,6,0,97,66,888,13.45,4,3,2,4,,,113,179.5,184.5,146.5,,42,,MereCa00
112,Devontae Booker,DEN,RB,24,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,4,3,5,,,112,142.7,151.7,127.2,,29,,BookDe00
113,Quincy Enunwa,NYJ,WR,24,16,13,0,0,0,0,0,1,12,12,0,105,58,857,14.78,4,0,0,4,,,111,168.9,171.9,139.9,,43,,EnunQu00
114,Case Keenum,LAR,QB,28,10,9,196,322,2201,9,11,20,51,2.55,1,0,0,0,,0,5,1,1,,,111,111.1,126.1,122.1,,30,,KeenCa00
115,Darren Sproles,PHI,RB,33,15,5,0,0,0,0,0,94,438,4.66,2,71,52,427,8.21,2,1,0,4,,,111,162.5,168.5,136.5,,30,,SproDa00
116,Stefon Diggs,MIN,WR,23,13,11,0,0,0,0,0,3,10,3.33,0,112,84,903,10.75,3,0,0,3,,,109,193.3,196.3,151.3,,44,,DiggSt00
117,Theo Riddick,DET,RB,25,10,8,0,0,0,0,0,92,357,3.88,1,67,53,371,7,5,0,0,6,,,109,161.8,167.8,135.3,,31,,RiddTh00
118,Anquan Boldin,DET,WR,36,16,16,0,0,0,0,0,0,0,,0,95,67,584,8.72,8,0,0,8,,,106,173.4,176.4,139.9,,45,,BoldAn00
119,Taylor Gabriel,ATL,WR,25,13,3,0,0,0,0,0,4,51,12.75,1,50,35,579,16.54,6,0,0,7,,,105,140,143,122.5,,47,,GabrTa00
120,Ted Ginn Jr.,CAR,WR,31,16,8,0,0,0,0,0,14,98,7,0,95,54,752,13.93,4,3,2,4,,,105,159,164,132,,48,,GinnTe00
121,Tim Hightower,NOR,RB,30,16,1,0,0,0,0,0,133,548,4.12,4,26,22,200,9.09,1,0,0,5,,,105,126.8,132.8,115.8,,33,,HighTi00
122,Dontrelle Inman,SDG,WR,27,16,16,0,0,0,0,0,0,0,,0,97,58,810,13.97,4,0,0,4,,,105,163,166,134,,49,,InmaDo00
123,Jerick McKinnon,MIN,RB,24,15,7,0,1,0,0,0,159,539,3.39,2,53,43,255,5.93,2,0,0,4,1,,105,148.4,154.4,126.9,,32,,McKiJe00
124,JJ Nelson,ARI,WR,24,15,6,0,0,0,0,0,4,83,20.75,1,74,34,568,16.71,6,1,1,7,,,105,139.1,143.1,122.1,,46,,NelsJJ00
125,Rashad Jennings,NYG,RB,31,13,12,0,0,0,0,0,181,593,3.28,3,42,35,201,5.74,1,1,0,4,,,103,138.4,144.4,120.9,,34,,JennRa00
126,James White,NWE,RB,24,16,4,0,0,0,0,0,39,166,4.26,0,86,60,551,9.18,5,0,0,5,,,102,161.7,167.7,131.7,,35,,WhitJa02
127,Chris Thompson,WAS,RB,26,16,0,0,0,0,0,0,68,356,5.24,3,62,49,349,7.12,2,2,1,5,,,99,147.5,154.5,123,,36,,ThomCh03
128,Jordan Matthews,PHI,WR,24,14,13,0,0,0,0,0,0,0,,0,117,73,804,11.01,3,1,0,3,,,98,171.4,174.4,134.9,,50,,MattJo00
129,DeVante Parker,MIA,WR,23,15,8,0,0,0,0,0,0,0,,0,87,56,744,13.29,4,0,0,4,,,98,154.4,157.4,126.4,,51,,ParkDe01
130,Brandon Marshall,NYJ,WR,32,15,15,0,0,0,0,0,0,0,,0,128,59,788,13.36,3,0,0,3,,,97,155.8,158.8,126.3,,52,,MarsBr00
